year,index,brand,model,model_number,segment,manufacturer,repairability,occupant,pedestrian,assist,nev_special,detail_url,source
2023,33,福特,游骑侠,JX1036PSF6,皮卡,江铃汽车股份有限公司,M,G,G,G,-- **,/products/show-792.html,https://ciasi.org.cn/products/show-792.html
2023,34,大众,ID.7 VIZZION,FV7007AABEV,轿车,一汽-大众汽车有限公司,A,G,G,G,--,/products/show-793.html,https://ciasi.org.cn/products/show-793.html
2023,35,魏牌,蓝山,CC6520BP00DPHEV,SUV,长城汽车股份有限公司,M,G,G,G,--,/products/show-794.html,https://ciasi.org.cn/products/show-794.html
2023,36,上汽通用别克,君威,111,轿车,111,A,G+,--,G+,-- **,/products/show-970.html,https://ciasi.org.cn/products/show-970.html
2022,1,丰田,皇冠 陆放,TV650025HEV,SUV,天津一汽丰田汽车有限公司,M,G,G,G,--,/products/show-723.html,https://ciasi.org.cn/products/show-723.html
2022,2,奥迪,A7L,SVW72025AV（2022款 45TFSI S-line 筑梦型 流晶套装）,轿车,上汽大众汽车有限公司,M,G,G,G,--,/products/show-729.html,https://ciasi.org.cn/products/show-729.html
2022,3,本田,型格,GHA7150SAC6A（2022款 240TURBO 科技版）,轿车,广汽本田汽车有限公司,P,G,G,G,--,/products/show-730.html,https://ciasi.org.cn/products/show-730.html
2022,4,领克,领克09,MR6501D01 （2021款 六座 HALO）,SUV,浙江吉利汽车有限公司,A,G,G,G,--,/products/show-731.html,https://ciasi.org.cn/products/show-731.html
2022,5,长安,UNI-V,SC7154CAB6（2022款 卓越型）,轿车,重庆长安汽车股份有限公司,P,G,G,G,-- **,/products/show-733.html,https://ciasi.org.cn/products/show-733.html
2022,6,小鹏,P5,NHQ7000BEVDG（2022款 460G+）,轿车,肇庆小鹏新能源投资有限公司,P,G,G,G,-- **,/products/show-740.html,https://ciasi.org.cn/products/show-740.html
2022,7,本田,思域,DHW7151FECSF （2022款 180TURBO 尚动版）,轿车,东风本田汽车有限公司,P,G,G,G,-- **,/products/show-743.html,https://ciasi.org.cn/products/show-743.html
2022,8,传祺,影豹,GAC7153BCW6B（2021款 270T J11版）,轿车,广汽乘用车有限公司,P,G,G,A,--,/products/show-744.html,https://ciasi.org.cn/products/show-744.html
2022,9,欧拉,好猫,CC7000BJ01BBEV（2022款 400Km标准续航 豪华型）,轿车,长城汽车股份有限公司,A,A,G,G,--,/products/show-745.html,https://ciasi.org.cn/products/show-745.html
2022,10,现代,伊兰特,BH7152CCAS（2022款 1.5L GLS领先版）,轿车,北京现代汽车有限公司,P,G,A,A,-- **,/products/show-746.html,https://ciasi.org.cn/products/show-746.html
2022,11,丰田,凌尚,GTM7200LM（2021款 豪华版）,轿车,广汽丰田汽车有限公司,P,G,G,G,--,/products/show-747.html,https://ciasi.org.cn/products/show-747.html
2022,12,宝马,X5,BMW6517AX（2022款 xDrive30Li M运动套装）,SUV,华晨宝马汽车有限公司,M,G,G,G,--,/products/show-748.html,https://ciasi.org.cn/products/show-748.html
2022,13,理想,L9,LXA6520SHEVX1（2022款 Max）,SUV,重庆理想汽车有限公司,M,G,G,G,--,/products/show-749.html,https://ciasi.org.cn/products/show-749.html
2022,14,赛力斯,问界M7,SKE6500SSHEVR（2022款 两驱舒适版）,SUV,重庆金康新能源汽车有限公司,M,G,G,G,--,/products/show-750.html,https://ciasi.org.cn/products/show-750.html
2022,15,大众,ID.6 CROZZ,FV6498BBBEV（2021款 长续航PURE+版）,SUV,一汽-大众汽车有限公司,A,G,G,G,--,/products/show-751.html,https://ciasi.org.cn/products/show-751.html
2022,16,玛斯丹,Mach-E,CAF6470A1BEV（2021款 跃世后驱版（标准续航））,SUV,长安福特汽车有限公司,M,G,G,G,--,/products/show-752.html,https://ciasi.org.cn/products/show-752.html
2022,17,蔚来,ET5,HFC7003CSEV1-W（2022款 75kWh）,轿车,安徽江淮汽车集团股份有限公司,A,G,G,G,--,/products/show-753.html,https://ciasi.org.cn/products/show-753.html
2022,18,日产,轩逸,DFL7162VANH6（2022款 1.6XL 悦享版 CVT）,轿车,东风汽车有限公司,M,G,G,G,-- **,/products/show-755.html,https://ciasi.org.cn/products/show-755.html
2022,19,零跑,零跑C11,FZ6480BEV06（2022款 豪华版）,SUV,零跑汽车有限公司,M,G,A,G,--,/products/show-763.html,https://ciasi.org.cn/products/show-763.html
2022,20,大众,凌渡L,SVW71426CT（2022款 280TSI 热辣款）,轿车,上汽大众汽车有限公司,A,G,G,G,-- **,/products/show-764.html,https://ciasi.org.cn/products/show-764.html
2022,21,福特,蒙迪欧,CAF7205A61（2022款 EcoBoost 245 时尚型）,轿车,长安福特汽车有限公司,P,G,G,G,-- **,/products/show-765.html,https://ciasi.org.cn/products/show-765.html
2022,22,理想,L8,LXA6511SHEVX1（2023款 Pro）,SUV,重庆理想汽车有限公司,M,G,G,G,--,/products/show-766.html,https://ciasi.org.cn/products/show-766.html
2022,23,极氪,极氪001,MR7001BEV08（ 2022款 超长续航单电机 WE版）,SUV,浙江吉利汽车有限公司,A,G,G,G,--,/products/show-767.html,https://ciasi.org.cn/products/show-767.html
2022,24,奥迪,A4L,FV7203FBDCG（2022款 40TFSI 时尚动感型）,轿车,一汽-大众汽车有限公司,M,G,G,G,-- **,/products/show-768.html,https://ciasi.org.cn/products/show-768.html
2022,25,比亚迪,护卫舰07,BYD6482ST6HEV2（2023款 100KM 豪华型）,SUV,比亚迪汽车有限公司,P,G,G,G,-- **,/products/show-769.html,https://ciasi.org.cn/products/show-769.html
2022,26,别克,别克世纪,SGM6523UBA3（2023款 六座蕴世版）,MPV,上汽通用汽车有限公司,P,G,A,G,--,/products/show-770.html,https://ciasi.org.cn/products/show-770.html
2022,27,荣威,RX5,CSA6473REAN（2023款 超感豪华版）,SUV,上海汽车集团股份有限公司,M,G,G,G,-- **,/products/show-771.html,https://ciasi.org.cn/products/show-771.html
2022,28,北京,魔方,BJ6460U5XDK（2022款 黄金版）,SUV,北京汽车股份有限公司,A,A,G,G,-- **,/products/show-772.html,https://ciasi.org.cn/products/show-772.html
2021,1,讴歌,RDX,GHA6480MAA6A,SUV,广汽本田汽车有限公司,M,G,G,A,--,/products/show-773.html,https://ciasi.org.cn/products/show-773.html
2021,2,长安,UNI-K,SC6493ABA6,SUV,重庆长安汽车股份有限公司,A,G,G,G,-- **,/products/show-774.html,https://ciasi.org.cn/products/show-774.html
2021,3,大众,ID.4 X,SVW6461AEV,SUV,上汽大众汽车有限公司,G,G,G,G,-- **,/products/show-775.html,https://ciasi.org.cn/products/show-775.html
2021,4,马自达,CX-30,CAM7204B,SUV,长安马自达汽车有限公司,M,G,G,G,-- **,/products/show-776.html,https://ciasi.org.cn/products/show-776.html
2021,5,福特,锐际,CAF6461AF64,SUV,长安福特汽车有限公司,M,G,G,G,-- **,/products/show-777.html,https://ciasi.org.cn/products/show-777.html
2021,6,别克,昂科威,SGM6479EBA1,SUV,上汽通用东岳汽车有限公司,P,G,G,M,-- **,/products/show-778.html,https://ciasi.org.cn/products/show-778.html
2021,7,丰田,CH-R,GTM7201XM,SUV,广汽丰田汽车有限公司,A,G,G,G,-- **,/products/show-779.html,https://ciasi.org.cn/products/show-779.html
2021,8,雪铁龙,天逸C5 AIRCROSS,DC6456KXCB16,SUV,神龙汽车有限公司,M,A,G,--,--,/products/show-780.html,https://ciasi.org.cn/products/show-780.html
2021,9,魏牌,坦克300,CC2030BE21A,SUV,长城汽车股份有限公司,A,G,G,G,--,/products/show-781.html,https://ciasi.org.cn/products/show-781.html
2021,10,日产,奇骏,DFL6470VTNM2,SUV,东风汽车有限公司,M,G,G,G,-- **,/products/show-782.html,https://ciasi.org.cn/products/show-782.html
2021,11,别克,GL8 ES 陆尊,SGM6522UBB2,MPV,上汽通用汽车有限公司,P,A,A,G,-- **,/products/show-783.html,https://ciasi.org.cn/products/show-783.html
2021,12,特斯拉,Model Y,TSL6480BEVAR0,SUV,特斯拉（上海）有限公司,P,G,G,G,--,/products/show-784.html,https://ciasi.org.cn/products/show-784.html
2020,1,别克,君威,SGM7157EBA1,轿车,上汽通用汽车有限公司,M,G,G,G,-- **,/products/show-795.html,https://ciasi.org.cn/products/show-795.html
2020,2,特斯拉,Model 3,TSL7000BEVAR0,轿车,特斯拉（上海）有限公司,M,G,A,G,--,/products/show-796.html,https://ciasi.org.cn/products/show-796.html
2020,3,哈弗,H6,CC6464RM08A,SUV,长城汽车股份有限公司,P,A,G,--,--,/products/show-797.html,https://ciasi.org.cn/products/show-797.html
2020,4,本田,皓影,GHA6460RAC6A,SUV,广汽本田汽车有限公司,P,G,G,G,-- **,/products/show-798.html,https://ciasi.org.cn/products/show-798.html
2020,5,奥迪,Q5L,FV6481LAQDG,SUV,一汽-大众汽车有限公司,--,G,G,G,--,/products/show-799.html,https://ciasi.org.cn/products/show-799.html
2020,6,奔驰,A级,BJ7138LEL,轿车,北京奔驰汽车有限公司,--,G,G,A,--,/products/show-800.html,https://ciasi.org.cn/products/show-800.html
2020,7,领克,领克03,MR7152D09,轿车,浙江吉利汽车有限公司,M,G,G,G,-- **,/products/show-801.html,https://ciasi.org.cn/products/show-801.html
2020,8,江淮,嘉悦A5,HFC7152B1S,轿车,安徽江淮汽车集团股份有限公司,P,A,A,G,-- **,/products/show-802.html,https://ciasi.org.cn/products/show-802.html
2020,9,马自达,阿特兹,CA7200ATE6A,轿车,中国第一汽车集团有限公司,M,A,G,G,-- **,/products/show-803.html,https://ciasi.org.cn/products/show-803.html
2020,10,丰田,RAV4荣放,CA64642XME6,SUV,四川一汽丰田汽车有限公司,--,G,G,G,--,/products/show-804.html,https://ciasi.org.cn/products/show-804.html
2020,11,荣威,iMAX8,CSA6511ZEAP,MPV,上海汽车集团股份有限公司,P,G,G,G,-- **,/products/show-805.html,https://ciasi.org.cn/products/show-805.html
2020,12,宝马,X3,BMW6475SX,SUV,华晨宝马汽车有限公司,P,G,G,G,--,/products/show-806.html,https://ciasi.org.cn/products/show-806.html
2020,13,丰田,威兰达,GTM6470FFXM,SUV,广汽丰田汽车有限公司,P,G,G,G,-- **,/products/show-807.html,https://ciasi.org.cn/products/show-807.html
2020,14,大众,帕萨特,SVW71423DT,轿车,上汽大众汽车有限公司,A,G,G,G,-- **,/products/show-808.html,https://ciasi.org.cn/products/show-808.html
2020,15,大众,途昂,SVW6505KVD,SUV,上汽大众汽车有限公司,P,G,G,G,-- **,/products/show-809.html,https://ciasi.org.cn/products/show-809.html
2020,16,蔚来,EC6,HFC6483ECSEV6-W,SUV,上海蔚来汽车有限公司,A,G,G,G,--,/products/show-810.html,https://ciasi.org.cn/products/show-810.html
2020,17,启辰,星,DFL6470MTN81,SUV,东风汽车有限公司,M,G,G,G,-- **,/products/show-811.html,https://ciasi.org.cn/products/show-811.html
2020,18,现代,胜达,BH6490MCAS,SUV,北京现代汽车有限公司,M,G,G,G,-- **,/products/show-812.html,https://ciasi.org.cn/products/show-812.html
2020,19,天际,ME7,QAC6461BEVAB,SUV,福建天际汽车制造有限公司,P,G,G,G,-- **,/products/show-813.html,https://ciasi.org.cn/products/show-813.html
2020,20,理想,ONE,LXA6500SHEVM1,SUV,重庆理想汽车有限公司,M,G,G,G,--,/products/show-814.html,https://ciasi.org.cn/products/show-814.html
2020,21,比亚迪,汉EV,BYD7009BEV1,轿车,比亚迪汽车有限公司,P,G,G,G,--,/products/show-815.html,https://ciasi.org.cn/products/show-815.html
2020,22,比亚迪,宋PLUS,BYD6470ST6B,SUV,比亚迪汽车有限公司,P,G,G,G,-- **,/products/show-816.html,https://ciasi.org.cn/products/show-816.html
2020,23,领克,领克05,MR6463D17,SUV,浙江吉利汽车有限公司,M,G,G,G,--,/products/show-817.html,https://ciasi.org.cn/products/show-817.html
2019,1,本田,凌派,GHA7100GAC5A,轿车,广汽本田汽车有限公司,--,M,G,G,--,/products/show-818.html,https://ciasi.org.cn/products/show-818.html
2019,2,福特,福克斯,CAF7158A6P1,轿车,长安福特汽车有限公司,A,G,G,G,-- **,/products/show-819.html,https://ciasi.org.cn/products/show-819.html
2019,3,北京,绅宝D50,BJ7151C4DCB,轿车,北京汽车股份有限公司,P,M,A,--,--,/products/show-820.html,https://ciasi.org.cn/products/show-820.html
2019,4,现代,菲斯塔,BH7140CAAV,轿车,北京现代汽车有限公司,--,M,A,G,-- **,/products/show-821.html,https://ciasi.org.cn/products/show-821.html
2019,5,东风风神,AX7,DFM6460D5B2,SUV,东风汽车集团有限公司,--,M,P,M,-- **,/products/show-822.html,https://ciasi.org.cn/products/show-822.html
2019,6,三菱,欧蓝德,GMC6472A,SUV,广汽三菱汽车有限公司,--,M,G,G,-- **,/products/show-823.html,https://ciasi.org.cn/products/show-823.html
2019,7,凯迪拉克,XT4,SGM6468EBA1,SUV,上汽通用汽车有限公司,--,G,G,G,-- **,/products/show-824.html,https://ciasi.org.cn/products/show-824.html
2019,8,哈弗,F5,CC7154UM0A,SUV,长城汽车股份有限公司,P,A,G,--,--,/products/show-825.html,https://ciasi.org.cn/products/show-825.html
2019,9,比亚迪,唐,BYD6490ST6A,SUV,比亚迪汽车工业有限公司,P,G,G,G,-- **,/products/show-826.html,https://ciasi.org.cn/products/show-826.html
2019,10,沃尔沃,XC60,VCC6474H27,SUV,浙江豪情汽车制造有限公司,P,G,G,G,--,/products/show-827.html,https://ciasi.org.cn/products/show-827.html
2019,11,丰田,亚洲龙,TV7256E6,轿车,天津一汽丰田汽车有限公司,P,G,G,G,--,/products/show-828.html,https://ciasi.org.cn/products/show-828.html
2019,12,吉利,星越,MR6463D03,SUV,浙江吉利汽车有限公司,A,A,G,G,--,/products/show-829.html,https://ciasi.org.cn/products/show-829.html
2019,13,丰田,雷凌,GTM7121LPCJM（2019款 185T进取版）,轿车,广汽丰田汽车有限公司,M,G,G,G,-- **,/products/show-830.html,https://ciasi.org.cn/products/show-830.html
2019,14,日产,天籁,DFL7201VANF2,轿车,东风汽车有限公司,M,G,G,G,-- **,/products/show-831.html,https://ciasi.org.cn/products/show-831.html
2019,15,雪佛兰,科鲁泽,SGM7102LNA1,轿车,上汽通用汽车有限公司,P,G,G,--,--,/products/show-832.html,https://ciasi.org.cn/products/show-832.html
2019,16,马自达,马自达3,CAM7153M（2020款 1.5L MT质美版）,轿车,长安马自达汽车有限公司,P,G,G,G,-- **,/products/show-833.html,https://ciasi.org.cn/products/show-833.html
2019,17,本田,INSPIRE,DHW7152CVCSF,轿车,东风本田汽车有限公司,P,M,G,G,-- **,/products/show-834.html,https://ciasi.org.cn/products/show-834.html
2019,18,大众,帕萨特,SVW71423CT,轿车,上汽大众汽车有限公司,A,M,G,G,-- **,/products/show-835.html,https://ciasi.org.cn/products/show-835.html
2019,19,长安,CS75 PLUS,SC6479BEH6,SUV,合肥长安汽车有限公司,M,G,G,G,-- **,/products/show-836.html,https://ciasi.org.cn/products/show-836.html
2019,20,一汽奔腾,T77,CA6455A6,SUV,中国第一汽车集团有限公司,P,M,G,G,-- **,/products/show-837.html,https://ciasi.org.cn/products/show-837.html
2019,21,小鹏,G3,HMA7001DEBEV,SUV,广州小鹏汽车科技有限公司,P,G,G,G,-- **,/products/show-838.html,https://ciasi.org.cn/products/show-838.html
2019,22,奔驰,GLC,BJ6486LEAL,SUV,北京奔驰汽车有限公司,P,G,G,G,--,/products/show-839.html,https://ciasi.org.cn/products/show-839.html
2019,23,吉普,大指挥官,GFA6491FTDBA,SUV,广汽菲亚特克莱斯勒汽车有限公司,M,G,G,G,-- **,/products/show-840.html,https://ciasi.org.cn/products/show-840.html
2019,24,宝马,3系,BMW7200AG,轿车,华晨宝马汽车有限公司,P,G,G,G,-- **,/products/show-841.html,https://ciasi.org.cn/products/show-841.html
2019,25,奥迪,A6 L,FV7201BBDDG,轿车,一汽大众汽车有限公司,--,G,G,G,--,/products/show-842.html,https://ciasi.org.cn/products/show-842.html
